Part Number,Manufacturer,Stock,Web active,Description,Process,Condition,Ebay Listing Link
14064,MKS-HPS,1,ebay,"MKS HPS Pneumatic Vacuum Isolation Valve, Angle",Other Items,New,https://www.ebay.com/itm/MKS-HPS-Pneumatic-Vacuum-Isolation-Valve-Angle/232709375809?hash=item362e8f4741:g:Cd4AAOSwiuxattCS
14064,MKS-HPS,1,ebay,"MKS HPS Pneumatic Vacuum Isolation Valve, Angle",Other Items,New,https://www.ebay.com/itm/MKS-HPS-Pneumatic-Vacuum-Isolation-Valve-Angle/232709375809?hash=item362e8f4741:g:Cd4AAOSwiuxattCS
41300420,Veriflo,1,ebay,"Regulator, Veriflo Model # IR400S4PBX4 and Gauge",Other Items,New,https://www.ebay.com/itm/Veriflo-41300420-Regulator-Model-IR400S4PBX4-and-Gauge/331960404657?hash=item4d4a61cab1%3Ag%3A-gsAAOSw8oFXzKpM&_sacat=0&_nkw=Regulator%2C+Veriflo+Model+%23+IR400S4PBX4+and+Gauge&_from=R40&rt=nc&_trksid=m570.l1313
21016400025,Applied Materials ,1,ebay,"Power Supply, Opal",Other Items,New,https://www.ebay.com/itm/Applied-Materials-21016400025-Power-Supply-Opal/232041566796?hash=item3606c1524c%3Ag%3Aub8AAOSw-itXp5OL&_sacat=0&_nkw=21016400025&_from=R40&rt=nc&_trksid=m570.l1313
 70509090000,Applied Materials ,1,ebay,COLUMN LINER BACKUP,Other Items,New,https://www.ebay.com/itm/Applied-Materials-70509090000-COLUMN-LINER-BACKUP-AMAT/233029388310?hash=item3641a24816:g:efsAAOSwE~ZcAybj
0010-00212,Applied Materials ,1,ebay,Robot Assy,8300,Used,https://www.ebay.com/itm/Applied-Materials-0010-00212-Robot-Assy-AMAT-Precision-8300/232026877988?hash=item3605e13024:g:jkoAAOSw0RpXltHI:rk:1:pf:0
0010-00212W,Appiled Materials ,2,ebay,"Robot, Assy.   REFURBISHED BY AMAT",8300,Used,https://www.ebay.com/itm/Applied-Materials-0010-00212W-Robot-Assy-REFURBISHED-BY-AMAT-Precision-8300/331959441153?hash=item4d4a531701:g:W00AAOSw9IpXyzmB
0010-00298,Appiled Materials ,1,ebay,"RF Match, Assy. 8300",8300,Used,
0010-00309,Applied Materials ,1,ebay,Gate Valve,8300,Used,https://www.ebay.com/itm/Applied-Materials-0010-00309-8300-Gate-Valve-AMAT-Precision-8300/232026877853?hash=item3605e12f9d:g:8tkAAOSwqfNXltG~:rk:1:pf:0
0010-00339W,Applied Materials ,110,ebay,"Pedestal, Assy. 150 MM Oxide",8300,New,
0010-00388,Applied Materials,1,ebay,Pedestal,8300,New,
0010-00510,Applied Materials ,1,ebay,"Bearing, Assy.",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-00510-Bearing-Assy-AMAT-Etch/232267022894?hash=item361431822e:g:KZEAAOSwWxNYw1ea:rk:2:pf:0
0010-00510,Applied Materials ,1,ebay,"Bearing, Assy.    ",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-00510-Bearing-Assy-AMAT/233041360318?hash=item364258f5be:g:pysAAOSw8R9cDsoU
0010-00561,Applied Materials ,1,ebay,Emission Detector,8300,Used,
0010-00706,Applied Materials ,1,ebay,"Clamp Ring, Vespal XTAL 150 mm",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-00706-Clamp-Ring-Vespal-XTAL-150-MM-AMAT-Etch/332098374395?hash=item4d529b0afb:g:hL0AAOSw-0xYgrHF
0010-00724,Applied Materials,1,ebay,"Heat Exchanger, ITC",Other Items,New ,https://www.ebay.com/itm/Applied-Materials-0010-00724-Heat-Exchanger-Assy-ITC-AMAT/331919122101?hash=item4d47ebdeb5:g:4cIAAOSwSv1Xlti4
0010-00744,Applied Materials ,1,ebay,"HE Pressure Controller, Assy.",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-00744-HE-Pressure-Controller-Assy/233011223957?hash=item36408d1d95:g:k6cAAOSwk4Rb8dPA:rk:1:pf:0
0010-00750,Applied Materials,1,ebay,Bolt Down Cover Assy.,Etch,Used,
0010-00764,Applied Materials ,3,ebay,"Blade, Assy. 150 MM",8300,New ,https://www.ebay.com/itm/Applied-Materials-0010-00764-Blade-Assy-Precision-8300-AMAT/232029515462?hash=item3606096ec6:g:k9oAAOSwENxXmVAU
0010-00793,Applied Materials ,10,ebay,"Wiper, Assy.",Other Items,New ,https://www.ebay.com/itm/Applied-Materials-0010-00793-Wiper-Assy/331985028611?hash=item4d4bd98603:g:2uIAAOSwYIxX7EIh
0010-01098,Applied Materials ,1,ebay,"Refelector, Assy. Cassette Handler 200 MM",Other Items,New ,https://www.ebay.com/itm/Applied-Materials-0010-01098-Refelector-Assy-Cassette-Handler-200-MM/332100077053?hash=item4d52b505fd:g:e0kAAOSwZQRYhUwv
0010-01322,Applied Materials,1,ebay,"Slit Door, SHO Corroson Resistant",Etch,New ,
0010-02419,Applied Materials ,1,ebay,"Clamp Lid, Assy. Emax Kalrez",Etch,New ,https://www.ebay.com/itm/Applied-Materials-0010-02419-Clamp-Lid-Assy-Emax-Kalrez-AMAT/332928559720?hash=item4d8416aa68:g:1LsAAOSwH0VcCGNT
0010-02991,Applied Materials ,1,ebay,"Susceptor, 150 MM WCVD",CVD,New ,https://www.ebay.com/itm/Applied-Materials-0010-02991-Susceptor-150-MM-WCVD-AMAT/331919124650?hash=item4d47ebe8aa%3Ag%3AD8oAAOSwENxXltos&_sacat=0&_nkw=0010-02991&_from=R40&rt=nc&_trksid=m570.l1313
0010-04542,Applied Materials ,1,ebay,"Heater, Assy. 200 MM FC WXZ",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-04542-Heater-Assy-200-MM-FC-WXZ-AMAT-CVD/332949317251?hash=item4d85536683:g:82kAAOSwcttcEtcP
